Scenario,Type,Resid_Consistency (kPa),Resid_Meas (kPa)
calib_0,none,3.3695024738279082,0.5156237562777714
calib_1,none,3.346465540811711,2.0535146392717323
calib_2,none,3.4082595481640996,5.454919076848819
fleet_norm_0,none,3.391883879325386,
fleet_norm_1,none,3.3420763667580373,
fleet_norm_2,none,3.409480245395762,
fleet_norm_3,none,3.3713750669040063,
fleet_norm_4,none,3.380287480881495,
fleet_fault_op,overpressure,51.13599227974767,
calib_fault_sensor,sensor_fault,3.3901614340562003,22.66380269386898
